mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-01-01 00:00:00,385791034,0.05,0.0,0.05,19289552
2019-04-02 06:00:00,385791034,0.06,0.01,0.05,19289552
2019-07-02 12:00:00,385791034,-0.0,0.02,-0.02,-7715821
2019-10-01 18:00:00,385791034,-0.21,0.05,-0.26,-100305669
2020-01-01 00:00:00,385791034,-0.45,0.04,-0.49,-189037607
2020-04-01 12:00:00,385791034,-0.45,-0.02,-0.43,-165890145
2020-07-02 00:00:00,385791034,-0.27,-0.06,-0.21,-81016117
2020-10-01 12:00:00,385791034,-0.11,-0.06,-0.05,-19289552
2021-01-01 00:00:00,385791034,-0.05,-0.04,-0.01,-3857910
2021-04-02 06:00:00,385791034,-0.05,-0.04,-0.01,-3857910
2021-07-02 12:00:00,385791034,-0.05,-0.04,-0.01,-3857910
