mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-01-01 00:00:00,171436719.75310096,0.06,-0.01,0.07,12000570.0
2019-04-02 06:00:00,171436719.75310096,0.02,0.01,0.01,1714367.0
2019-07-02 12:00:00,171436719.75310096,0.03,0.02,0.01,1714367.0
2019-10-01 18:00:00,171436719.75310096,0.08,0.01,0.07,12000570.0
2020-01-01 00:00:00,171436719.75310096,0.12,-0.0,0.12,20572406.0
2020-04-01 12:00:00,171436719.75310096,0.11,-0.02,0.13,22286774.0
2020-07-02 00:00:00,171436719.75310096,0.1,-0.02,0.12,20572406.0
2020-10-01 12:00:00,171436719.75310096,0.09,-0.03,0.12,20572406.0
2021-01-01 00:00:00,171436719.75310096,0.06,-0.03,0.09,15429305.0
2021-04-02 06:00:00,171436719.75310096,0.01,-0.01,0.02,3428734.0
2021-07-02 12:00:00,171436719.75310096,0.01,-0.01,0.02,3428734.0
