mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-01-01 00:00:00,107861282,0.07,0.04,0.03,3235838
2019-04-02 06:00:00,107861282,0.05,0.04,0.01,1078613
2019-07-02 12:00:00,107861282,0.04,0.03,0.01,1078613
2019-10-01 18:00:00,107861282,0.08,0.05,0.03,3235838
2020-01-01 00:00:00,107861282,0.08,0.05,0.03,3235838
2020-04-01 12:00:00,107861282,0.16,0.03,0.13,14021967
2020-07-02 00:00:00,107861282,0.44,0.04,0.4,43144513
2020-10-01 12:00:00,107861282,0.66,0.1,0.56,60402318
2021-01-01 00:00:00,107861282,0.46,0.14,0.32,34515611
2021-04-02 06:00:00,107861282,0.28,0.17,0.11,11864741
2021-07-02 12:00:00,107861282,0.23,0.16,0.07,7550290
