midcyc_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2010-11-16 14:15:00,47853222,0.29,0.21,0.08,3828258
2011-02-15 12:45:00,47853222,0.35,0.23,0.12,5742387
2011-05-17 23:15:00,47853222,0.35,0.21,0.14,6699451
2011-08-17 06:45:00,47853222,0.24,0.15,0.09,4306790
2011-11-16 14:15:00,47853222,0.12,0.07,0.05,2392661
2012-02-15 12:45:00,47853222,0.02,0.0,0.02,957064
2012-05-16 23:15:00,47853222,-0.03,-0.05,0.02,957064
2012-08-16 06:45:00,47853222,-0.09,-0.08,-0.01,-478532
2012-11-15 14:15:00,47853222,-0.12,-0.09,-0.03,-1435597
2013-02-16 00:45:00,47853222,-0.09,-0.06,-0.03,-1435597
2013-05-17 23:15:00,47853222,0.04,0.0,0.04,1914129
2013-08-17 06:45:00,47853222,0.06,0.03,0.03,1435597
2013-11-16 14:15:00,47853222,0.06,0.04,0.02,957064
2014-02-15 12:45:00,47853222,0.06,0.04,0.02,957064
2014-05-17 23:15:00,47853222,0.05,0.03,0.02,957064
2014-08-17 06:45:00,47853222,0.0,-0.0,0.0,0
2014-11-16 14:15:00,47853222,-0.07,-0.05,-0.02,-957064
2015-02-15 12:45:00,47853222,-0.06,-0.06,0.0,0
2015-05-17 23:15:00,47853222,-0.01,-0.04,0.03,1435597
2015-08-17 06:45:00,47853222,0.01,-0.02,0.03,1435597
2015-11-16 14:15:00,47853222,0.01,-0.01,0.02,957064
2016-02-15 12:45:00,47853222,0.02,0.01,0.01,478532
2016-05-16 23:15:00,47853222,0.04,0.03,0.01,478532
2016-08-16 06:45:00,47853222,0.02,0.03,-0.01,-478532
2016-11-15 14:15:00,47853222,-0.03,0.01,-0.04,-1914129
2017-02-16 00:45:00,47853222,-0.0,0.02,-0.02,-957064
2017-05-17 23:15:00,47853222,0.1,0.06,0.04,1914129
2017-08-17 06:45:00,47853222,0.11,0.07,0.04,1914129
2017-11-16 14:15:00,47853222,0.07,0.06,0.01,478532
2018-02-15 12:45:00,47853222,0.04,0.04,0.0,0
2018-05-17 23:15:00,47853222,0.03,0.02,0.01,478532
2018-08-17 06:45:00,47853222,0.0,0.0,0.0,0
2018-11-16 14:15:00,47853222,-0.02,-0.01,-0.01,-478532
2019-02-15 12:45:00,47853222,-0.05,-0.02,-0.03,-1435597
2019-05-18 05:15:00,47853222,-0.04,-0.05,0.01,478532
2019-08-17 12:45:00,47853222,-0.0,-0.02,0.02,957064
2019-11-16 20:15:00,47853222,-0.04,-0.04,0.0,0
2020-02-16 03:45:00,47853222,-0.07,-0.07,0.0,0
2020-05-17 11:15:00,47853222,0.05,0.04,0.01,478532
2020-08-16 18:45:00,47853222,0.03,0.03,0.0,0
2020-11-16 02:15:00,47853222,0.03,0.0,0.03,1435597
2021-02-15 09:45:00,47853222,-0.01,-0.0,-0.01,-478532
2021-05-17 17:15:00,47853222,0.05,0.05,0.0,0
2021-08-17 00:45:00,47853222,-0.09,-0.1,0.01,478532
2021-11-16 08:15:00,47853222,0.17,0.17,0.0,0
2022-02-15 15:45:00,47853222,0.09,0.09,0.0,0
2022-05-17 23:15:00,47853222,0.12,0.12,0.0,0
2022-08-17 06:45:00,47853222,0.0,-0.01,0.01,478532
2022-11-16 14:15:00,47853222,0.37,0.34,0.03,1435597
2023-02-15 21:45:00,47853222,0.01,0.01,0.0,0
2023-05-18 05:15:00,47853222,0.04,0.04,0.0,0
2023-08-17 12:45:00,47853222,-0.13,-0.12,-0.01,-478532
2023-11-16 20:15:00,47853222,0.04,0.04,0.0,0
2024-02-16 03:45:00,47853222,-0.04,-0.06,0.02,957064
2024-05-17 11:15:00,47853222,-0.08,-0.07,-0.01,-478532
2024-08-16 18:45:00,47853222,0.01,-0.0,0.01,478532
2024-11-16 02:15:00,47853222,0.12,0.11,0.01,478532
