midcyc_datetime,evolving_outlines_darea (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dvol_corr (m^3),static_outline_area,static_outline_dh (m),static_outline_region_dh (m),static_outline_dh_corr (m),static_outline_dvol_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dvol_corr (m^3)
2018-11-16 14:15:00,0.0,0.0,0.0,0.0,0.0,150250049.74152517,0.05648569,-0.000321419,0.05680711,8535270.836243803,-150250049.74152517,0.000321419007377699,-0.05680710822343826,-8535270.836243803
2019-02-15 21:45:00,0.0,0.0,0.0,0.0,0.0,150250049.74152517,0.17436165,0.12467513,0.049686514,7465401.176116096,-150250049.74152517,-0.12467513233423233,-0.04968651384115219,-7465401.176116096
2019-05-18 05:15:00,45289171.66627243,0.5414922833442688,0.1154303327202797,0.4260619580745697,19295993.159707356,150250049.74152517,0.27258772,0.14130574,0.13128197,19725122.812867004,-104960878.07525274,-0.025875411927700043,0.2947799861431122,-429129.6531596482
2019-08-17 12:45:00,74787281.45942108,-0.7250531911849976,0.018349898979067802,-0.7434030771255493,-55597095.166788176,150250049.74152517,-0.328822,-0.17229585,-0.15652613,-23518059.331915606,-75462768.28210409,0.1906457543373108,-0.5868769288063049,-32079035.83487257
2019-11-16 20:15:00,122802151.28124283,-0.7851516008377075,-0.1697271317243576,-0.6154244542121887,-75575446.92834151,150250049.74152517,-0.52569664,-0.3532769,-0.17241973,-25906072.53542268,-27447898.46028234,0.18354977667331696,-0.4430047273635864,-49669374.392918825
2020-02-16 03:45:00,35530525.666161776,0.5222419500350952,0.025091473013162613,0.4971504807472229,17664017.91613387,150250049.74152517,0.18910356,0.034481417,0.15462214,23231983.857508477,-114719524.0753634,-0.00938994437456131,0.3425283432006836,-5567965.941374607
2020-05-17 11:15:00,23259827.940244198,0.465581476688385,0.05975502356886864,0.4058264493942261,9439453.386509918,150250049.74152517,0.18006566,0.0764864,0.10357926,15562789.028624358,-126990221.80128098,-0.016731377691030502,0.30224719643592834,-6123335.64211444
2020-08-16 18:45:00,111640030.29999131,0.9652325510978699,0.008571423590183258,0.9566611051559448,106801674.76643285,150250049.74152517,0.5994083,0.25230703,0.3471013,52151987.73380961,-38610019.44153386,-0.24373561143875122,0.6095597743988037,54649687.03262324
2020-11-16 02:15:00,38444655.13275632,0.5543534755706787,0.003553691552951932,0.5507997870445251,21175307.860122394,150250049.74152517,0.06002189,0.08594144,-0.025919553,-3894414.111368182,-111805394.60876885,-0.08238775283098221,0.576719343662262,25069721.971490577
2021-02-15 09:45:00,0.0,0.0,0.0,0.0,0.0,150250049.74152517,0.028782131,-0.0006320092,0.02941414,4419475.951228421,-150250049.74152517,0.0006320091779343784,-0.029414139688014984,-4419475.951228421
2021-05-17 17:15:00,6737879.362077794,0.44793701171875,0.09558025002479553,0.35235676169395447,2374137.352706259,150250049.74152517,0.18859223,0.09620421,0.09238802,13881304.445120571,-143512170.37944737,-0.0006239563226699829,0.25996875762939453,-11507167.092414312
2021-08-17 00:45:00,0.0,0.0,0.0,0.0,0.0,150250049.74152517,0.10022698,-0.002268145,0.10249513,15399897.843803458,-150250049.74152517,0.0022681450936943293,-0.10249512642621994,-15399897.843803458
2021-11-16 08:15:00,0.0,0.0,0.0,0.0,0.0,150250049.74152517,-0.009078872,-0.044012256,0.034933385,5248742.759950976,-150250049.74152517,0.04401225596666336,-0.034933384507894516,-5248742.759950976
2022-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,150250049.74152517,0.0946301,0.05087871,0.04375139,6573648.341691352,-150250049.74152517,-0.05087871104478836,-0.04375138878822327,-6573648.341691352
2022-05-17 23:15:00,0.0,0.0,0.0,0.0,0.0,150250049.74152517,0.17786242,0.054686517,0.123175904,18507185.72621266,-150250049.74152517,-0.054686516523361206,-0.12317590415477753,-18507185.72621266
2022-08-17 06:45:00,0.0,0.0,0.0,0.0,0.0,150250049.74152517,0.030330632,-0.027976252,0.058306884,8760612.224363523,-150250049.74152517,0.027976252138614655,-0.05830688402056694,-8760612.224363523
2022-11-16 14:15:00,18824107.55938697,0.4398973286151886,0.09117808938026428,0.3487192392349243,6564328.467385812,150250049.74152517,0.15964748,0.05440792,0.105239555,15812248.40953752,-131425942.1821382,0.03677016869187355,0.2434796839952469,-9247919.942151709
2023-02-15 21:45:00,0.0,0.0,0.0,0.0,0.0,150250049.74152517,-0.65032107,-0.44160214,-0.20871893,-31360028.97060024,-150250049.74152517,0.4416021406650543,0.2087189257144928,31360028.97060024
