midcyc_datetime,evolving_outlines_darea (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dvol_corr (m^3),static_outline_area,static_outline_dh (m),static_outline_region_dh (m),static_outline_dh_corr (m),static_outline_dvol_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dvol_corr (m^3)
2018-11-16 14:15:00,0.0,0.0,0.0,0.0,0.0,169737144.5035016,0.08306044,0.039266586,0.043793857,7433444.250545397,-169737144.5035016,-0.03926658630371094,-0.04379385709762573,-7433444.250545397
2019-02-15 21:45:00,0.0,0.0,0.0,0.0,0.0,169737144.5035016,0.047206856,0.02289486,0.024311997,4126648.9473471087,-169737144.5035016,-0.022894859313964844,-0.02431199699640274,-4126648.9473471087
2019-05-18 05:15:00,0.0,0.0,0.0,0.0,0.0,169737144.5035016,-0.06706192,-0.06637192,-0.0006900057,-117119.60054646272,-169737144.5035016,0.06637191772460938,0.0006900057196617126,117119.60054646272
2019-08-17 12:45:00,3237915.3062939644,0.18060302734375,0.0875396728515625,0.0930633544921875,301331.25996531505,169737144.5035016,0.056019675,0.036917686,0.019101989,3242316.9864361156,-166499229.19720763,0.050621986389160156,0.07396136224269867,-2940985.7264708006
2019-11-16 20:15:00,0.0,0.0,0.0,0.0,0.0,169737144.5035016,0.053157967,0.055876732,-0.0027187653,-461475.45666074014,-169737144.5035016,-0.055876731872558594,0.002718765288591385,461475.45666074014
2020-02-16 03:45:00,0.0,0.0,0.0,0.0,0.0,169737144.5035016,-0.012589688,-0.0018625259,-0.0107271625,-1820797.9267757996,-169737144.5035016,0.0018625259399414062,0.010727162472903728,1820797.9267757996
2020-05-17 11:15:00,0.0,0.0,0.0,0.0,0.0,169737144.5035016,-0.030590309,-0.039016724,0.008426415,1430275.587007324,-169737144.5035016,0.0390167236328125,-0.008426414802670479,-1430275.587007324
2020-08-16 18:45:00,6767720.128307104,0.17414550483226776,0.12066650390625,0.05347900092601776,361930.91100876464,169737144.5035016,0.06765034,0.048609734,0.019040607,3231898.2475271085,-162969424.3751945,0.07205677032470703,0.034438394010066986,-2869967.336518344
2020-11-16 02:15:00,0.0,0.0,0.0,0.0,0.0,169737144.5035016,0.0006235088,-0.010234833,0.010858342,1843063.973864929,-169737144.5035016,0.010234832763671875,-0.010858342051506042,-1843063.973864929
2021-02-15 09:45:00,0.0,0.0,0.0,0.0,0.0,169737144.5035016,-0.010462595,-0.025112152,0.014649557,2486573.9648893927,-169737144.5035016,0.025112152099609375,-0.014649556949734688,-2486573.9648893927
2021-05-17 17:15:00,0.0,0.0,0.0,0.0,0.0,169737144.5035016,-0.031100154,-0.032497406,0.0013972521,237165.57869023588,-169737144.5035016,0.032497406005859375,-0.001397252082824707,-237165.57869023588
2021-08-17 00:45:00,1824226.598943174,0.172210693359375,0.11116790771484375,0.06104278564453125,111355.87324634044,169737144.5035016,0.07335622,0.029758453,0.043597765,7400160.183136749,-167912917.90455842,0.08140945434570312,0.017445020377635956,-7288804.309890409
2021-11-16 08:15:00,0.0,0.0,0.0,0.0,0.0,169737144.5035016,-0.0033529133,-0.008072853,0.00471994,801149.1402353278,-169737144.5035016,0.008072853088378906,-0.004719940014183521,-801149.1402353278
2022-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,169737144.5035016,0.006033709,-0.025876045,0.031909753,5416270.294442565,-169737144.5035016,0.02587604522705078,-0.0319097526371479,-5416270.294442565
2022-05-17 23:15:00,0.0,0.0,0.0,0.0,0.0,169737144.5035016,-0.010338698,-0.02728653,0.016947832,2876676.602166465,-169737144.5035016,0.027286529541015625,-0.016947831958532333,-2876676.602166465
2022-08-17 06:45:00,0.0,0.0,0.0,0.0,0.0,169737144.5035016,-0.055254724,-0.047307014,-0.007947709,-1349021.5008317006,-169737144.5035016,0.04730701446533203,0.007947709411382675,1349021.5008317006
2022-11-16 14:15:00,9509784.522060394,0.17022705078125,0.14826202392578125,0.02196502685546875,208882.6724167776,169737144.5035016,0.10516394,0.06711197,0.03805197,6458832.781973213,-160227359.9814412,0.08115005493164062,-0.016086943447589874,-6249950.109556436
2023-02-15 21:45:00,0.0,0.0,0.0,0.0,0.0,169737144.5035016,-0.0969951,-0.10172558,0.004730478,802937.8158248679,-169737144.5035016,0.10172557830810547,-0.004730477929115295,-802937.8158248679
