midcyc_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-05-18 05:15:00,419097065,-0.14,-0.01,-0.13,-54482619
2019-08-17 12:45:00,419097065,0.01,0.0,0.01,4190971
2019-11-16 20:15:00,419097065,0.02,0.0,0.02,8381941
2020-02-16 03:45:00,419097065,-0.01,-0.01,0.0,0
2020-05-17 11:15:00,419097065,0.03,0.0,0.03,12572912
2020-08-16 18:45:00,419097065,-0.06,-0.04,-0.02,-8381941
2020-11-16 02:15:00,419097065,-0.05,0.01,-0.06,-25145824
2021-02-15 09:45:00,419097065,-0.06,0.02,-0.08,-33527765
2021-05-17 17:15:00,419097065,-0.18,-0.06,-0.12,-50291648
2021-08-17 00:45:00,419097065,-0.08,-0.05,-0.03,-12572912
2021-11-16 08:15:00,419097065,0.12,0.06,0.06,25145824
2022-02-15 15:45:00,419097065,-0.06,-0.05,-0.01,-4190971
2022-05-17 23:15:00,419097065,-0.18,-0.03,-0.15,-62864560
2022-08-17 06:45:00,419097065,-0.09,-0.01,-0.08,-33527765
2022-11-16 14:15:00,419097065,-0.03,-0.01,-0.02,-8381941
2023-02-15 21:45:00,419097065,0.07,0.0,0.07,29336795
2023-05-18 05:15:00,419097065,-0.07,-0.03,-0.04,-16763883
2023-08-17 12:45:00,419097065,-0.3,-0.03,-0.27,-113156208
2023-11-16 20:15:00,419097065,-0.06,-0.01,-0.05,-20954853
2024-02-16 03:45:00,419097065,0.1,0.05,0.05,20954853
2024-05-17 11:15:00,419097065,0.02,-0.03,0.05,20954853
2024-08-16 18:45:00,419097065,-0.05,-0.01,-0.04,-16763883
2024-11-16 02:15:00,419097065,-0.2,-0.08,-0.12,-50291648
