mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2019-01-01 00:00:00,80910973,-0.37,-0.14,-0.23,-18609524
2019-04-02 06:00:00,20792438,-0.34,-0.1,-0.24,-4990185
2019-07-02 12:00:00,0,0.0,-0.06,0.0,0
2019-10-01 18:00:00,0,0.0,-0.03,0.0,0
2020-01-01 00:00:00,0,0.0,-0.01,0.0,0
2020-04-01 12:00:00,0,0.0,0.0,0.0,0
2020-07-02 00:00:00,0,0.0,0.01,0.0,0
2020-10-01 12:00:00,0,0.0,0.02,0.0,0
2021-01-01 00:00:00,0,0.0,0.02,0.0,0
2021-04-02 06:00:00,0,0.0,0.01,0.0,0
2021-07-02 12:00:00,0,0.0,0.01,0.0,0
