mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2019-01-01 00:00:00,,,0.04,,
2019-04-02 06:00:00,,,0.01,,
2019-07-02 12:00:00,,,0.02,,
2019-10-01 18:00:00,1691377.0,0.3,0.07,0.23000000417232513,389017.0
2020-01-01 00:00:00,16355287.0,0.37,0.06,0.3100000023841858,5070139.0
2020-04-01 12:00:00,15402892.0,0.36,0.07,0.28999999165534973,4466838.0
2020-07-02 00:00:00,,,0.07,,
2020-10-01 12:00:00,,,0.02,,
2021-01-01 00:00:00,,,-0.04,,
2021-04-02 06:00:00,,,-0.05,,
2021-07-02 12:00:00,,,-0.04,,
