midcyc_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-02-15 21:45:00,182910101,-0.01,-0.01,0.0,0
2019-05-18 05:15:00,182910101,-0.04,-0.05,0.01,1829101
2019-08-17 12:45:00,182910101,0.05,0.03,0.02,3658202
2019-11-16 20:15:00,182910101,0.0,0.01,-0.01,-1829101
2020-02-16 03:45:00,182910101,-0.01,-0.02,0.01,1829101
2020-05-17 11:15:00,182910101,-0.02,-0.03,0.01,1829101
2020-08-16 18:45:00,182910101,0.06,0.03,0.03,5487303
2020-11-16 02:15:00,182910101,0.03,0.02,0.01,1829101
2021-02-15 09:45:00,182910101,-0.03,-0.04,0.01,1829101
2021-05-17 17:15:00,182910101,0.03,0.01,0.02,3658202
2021-08-17 00:45:00,182910101,0.06,0.03,0.03,5487303
2021-11-16 08:15:00,182910101,0.04,0.02,0.02,3658202
2022-02-15 15:45:00,182910101,0.07,0.04,0.03,5487303
2022-05-17 23:15:00,182910101,0.03,0.01,0.02,3658202
2022-08-17 06:45:00,182910101,0.08,0.04,0.04,7316404
2022-11-16 14:15:00,182910101,0.03,0.0,0.03,5487303
2023-02-15 21:45:00,182910101,-0.12,-0.11,-0.01,-1829101
2023-05-18 05:15:00,182910101,0.03,0.02,0.01,1829101
2023-08-17 12:45:00,182910101,0.05,0.02,0.03,5487303
2023-11-16 20:15:00,182910101,0.03,0.03,0.0,0
2024-02-16 03:45:00,182910101,0.01,-0.02,0.03,5487303
2024-05-17 11:15:00,182910101,0.06,0.03,0.03,5487303
2024-08-16 18:45:00,182910101,-0.08,-0.09,0.01,1829101
