mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2010-10-01 18:00:00,,,-0.14,,
2011-01-01 00:00:00,,,-0.14,,
2011-04-02 06:00:00,,,-0.13,,
2011-07-02 12:00:00,,,-0.13,,
2011-10-01 18:00:00,,,-0.15,,
2012-01-01 00:00:00,,,-0.14,,
2012-04-01 12:00:00,,,-0.11,,
2012-07-02 00:00:00,,,-0.09,,
2012-10-01 12:00:00,,,-0.11,,
2013-01-01 00:00:00,,,-0.13,,
2013-04-02 06:00:00,,,-0.13,,
2013-07-02 12:00:00,,,-0.12,,
2013-10-01 18:00:00,,,-0.1,,
2014-01-01 00:00:00,83824945.0,-0.97,-0.1,-0.87,-72927704.0
2014-04-02 06:00:00,,,-0.11,,
2014-07-02 12:00:00,,,-0.1,,
2014-10-01 18:00:00,,,-0.11,,
2015-01-01 00:00:00,83824945.0,0.04,-0.1,0.14,11735492.0
2015-04-02 06:00:00,,,-0.08,,
2015-07-02 12:00:00,,,-0.07,,
2015-10-01 18:00:00,,,-0.07,,
2016-01-01 00:00:00,27505263.0,0.79,-0.06,0.85,23379476.0
2016-04-01 12:00:00,,,-0.02,,
2016-07-02 00:00:00,,,-0.03,,
2016-10-01 12:00:00,,,-0.06,,
2017-01-01 00:00:00,30252212.0,-0.26,-0.1,-0.16,-4840354.0
2017-04-02 06:00:00,,,-0.12,,
2017-07-02 12:00:00,,,-0.14,,
2017-10-01 18:00:00,,,-0.18,,
2018-01-01 00:00:00,216432408.0,-1.47,-0.21,-1.26,-272704832.0
2018-04-02 06:00:00,,,-0.22,,
2018-07-02 12:00:00,,,-0.2,,
2018-10-01 18:00:00,,,-0.18,,
2019-01-01 00:00:00,35137351.0,-0.05,-0.15,0.1,3513735.0
2019-04-02 13:30:00,35137351.0,0.09,-0.18,0.27,9487085.0
2019-07-02 21:00:00,35137351.0,0.42,0.08,0.34,11946700.0
2019-10-02 04:30:00,96782175.0,1.01,0.33,0.68,65811880.0
2020-01-01 12:00:00,96782175.0,0.15,-0.31,0.46,44519800.0
2020-04-01 19:30:00,29488512.0,0.89,-0.26,1.15,33911788.0
2020-07-02 03:00:00,77690092.0,0.96,0.26,0.7,54383068.0
2020-10-01 10:30:00,77690092.0,0.3,-0.05,0.35,27191534.0
2020-12-31 18:00:00,676858.0,0.69,-0.25,0.94,636246.0
2021-04-02 01:30:00,52270049.0,0.83,-0.29,1.12,58542456.0
2021-07-02 09:00:00,47400811.0,0.99,-0.04,1.03,48822836.0
2021-10-01 16:30:00,261255639.0,-1.7,-0.21,-1.49,-389270880.0
2022-01-01 00:00:00,13076057.0,-0.77,-0.3,-0.47,-6145747.0
2022-04-02 07:30:00,7629908.0,-0.28,-0.12,-0.16,-1220785.0
2022-07-02 15:00:00,7629908.0,-0.14,-0.01,-0.13,-991888.0
2022-10-01 22:30:00,7629908.0,-0.27,-0.03,-0.24,-1831178.0
2023-01-01 06:00:00,11561757.0,-0.77,-0.36,-0.41,-4740320.0
2023-04-02 13:30:00,11561757.0,-0.23,-0.24,0.01,115618.0
2023-07-02 21:00:00,11561757.0,0.58,-0.02,0.6,6937054.0
2023-10-02 04:30:00,24035849.0,0.82,0.01,0.81,19469036.0
2024-01-01 12:00:00,28965422.0,0.86,-0.23,1.09,31572310.0
2024-04-01 19:30:00,82295250.0,1.01,-0.18,1.19,97931352.0
2024-07-02 03:00:00,113980870.0,1.25,0.2,1.05,119679912.0
2024-10-01 10:30:00,113980870.0,-0.1,-0.19,0.09,10258279.0
2024-12-31 18:00:00,113980870.0,0.26,-0.23,0.49,55850628.0
