mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2019-04-02 13:30:00,0,0.0,0.04,0.0,0
2019-07-02 21:00:00,40086593,0.55,0.05,0.5,20043296
2019-10-02 04:30:00,77434124,-0.68,-0.02,-0.66,-51106522
2020-01-01 12:00:00,123471305,-0.81,-0.15,-0.66,-81491061
2020-04-01 19:30:00,32535352,0.54,0.03,0.51,16593030
2020-07-02 03:00:00,24626744,0.5,0.08,0.42,10343232
2020-10-01 10:30:00,136820204,0.93,-0.0,0.93,127242790
2020-12-31 18:00:00,33294977,0.62,-0.01,0.63,20975836
2021-04-02 01:30:00,3501101,-0.05,-0.02,-0.03,-105033
2021-07-02 09:00:00,3368792,0.49,0.09,0.4,1347517
2021-10-01 16:30:00,2820148,0.24,-0.0,0.24,676836
2022-01-01 00:00:00,2820148,0.21,-0.08,0.29,817843
2022-04-02 07:30:00,2820148,0.34,0.06,0.28,789641
2022-07-02 15:00:00,2820148,0.28,0.03,0.25,705037
2022-10-01 22:30:00,2820148,0.25,-0.03,0.28,789641
2023-01-01 06:00:00,49006483,-0.58,0.05,-0.63,-30874084
2023-04-02 13:30:00,214101490,-0.88,-0.14,-0.74,-158435103
2023-07-02 21:00:00,30004025,-0.45,0.03,-0.48,-14401932
2023-10-02 04:30:00,30147950,0.59,0.13,0.46,13868057
2024-01-01 12:00:00,1868936,0.5,-0.13,0.63,1177430
2024-04-01 19:30:00,6007362,0.48,0.01,0.47,2823460
2024-07-02 03:00:00,50582723,0.51,0.13,0.38,19221435
2024-10-01 10:30:00,123922403,0.67,0.06,0.61,75592666
