mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2014-01-01 00:00:00,159374654,-1.37,-0.09,-1.28,-203999557
2014-04-02 07:30:00,179254900,-2.1,-0.04,-2.06,-369265094
2014-07-02 15:00:00,199378514,-2.84,-0.01,-2.83,-564241195
2014-10-01 22:30:00,215133500,-2.89,-0.0,-2.89,-621735815
2015-01-01 00:00:00,200889025,-2.31,-0.03,-2.28,-458026977
2015-04-02 07:30:00,150829427,-1.57,-0.06,-1.51,-227752435
2015-07-02 15:00:00,37555737,-0.8,-0.09,-0.71,-26664573
2015-10-01 22:30:00,48444703,1.08,-0.08,1.16,56195855
2016-01-01 00:00:00,81477122,1.48,-0.05,1.53,124659997
2016-04-01 07:30:00,76860870,1.74,-0.02,1.76,135275131
2016-07-01 15:00:00,74074079,1.63,-0.0,1.63,120740749
2016-09-30 22:30:00,65471753,1.46,0.0,1.46,95588759
2017-01-01 00:00:00,56050765,1.29,0.0,1.29,72305487
2017-04-02 07:30:00,50226797,1.2,0.0,1.2,60272156
2017-07-02 15:00:00,45871821,1.07,0.01,1.06,48624130
2017-10-01 22:30:00,49041392,0.94,0.01,0.93,45608495
2018-01-01 00:00:00,47203702,0.88,0.01,0.87,41067221
2018-04-02 07:30:00,34937024,0.86,-0.0,0.86,30045841
2018-07-02 15:00:00,22586437,0.8,-0.01,0.81,18295014
2018-10-01 22:30:00,11478070,0.72,-0.01,0.73,8378991
2019-01-01 00:00:00,0,0.0,-0.01,0.0,0
2019-04-02 13:30:00,91769093,1.03,0.1,0.93,85345256
2019-07-02 21:00:00,105394975,-1.65,0.05,-1.7,-179171458
2019-10-02 04:30:00,189267833,3.84,0.06,3.78,715432409
2020-01-01 12:00:00,80943075,1.87,-0.07,1.94,157029566
2020-04-01 19:30:00,131908058,-0.46,-0.07,-0.39,-51444143
2020-07-02 03:00:00,103406557,0.96,0.05,0.91,94099967
2020-10-01 10:30:00,14880151,0.85,0.06,0.79,11755319
2020-12-31 18:00:00,15052036,-0.63,0.02,-0.65,-9783823
2021-04-02 01:30:00,42232178,-0.91,0.03,-0.94,-39698247
2021-07-02 09:00:00,55466123,0.85,0.04,0.81,44927560
2021-10-01 16:30:00,55466123,0.1,0.01,0.09,4991951
2022-01-01 00:00:00,55466123,-0.03,-0.02,-0.01,-554661
2022-04-02 07:30:00,55466123,-0.16,0.01,-0.17,-9429241
2022-07-02 15:00:00,55466123,-0.12,0.05,-0.17,-9429241
2022-10-01 22:30:00,55466123,0.12,0.03,0.09,4991951
2023-01-01 06:00:00,55466123,-0.17,-0.07,-0.1,-5546612
2023-04-02 13:30:00,55466123,0.06,0.02,0.04,2218645
2023-07-02 21:00:00,22685018,0.91,0.09,0.82,18601715
2023-10-02 04:30:00,148855829,-0.05,0.16,-0.21,-31259724
2024-01-01 12:00:00,252122580,-7.24,-0.17,-7.07,-1782506641
2024-04-01 19:30:00,288860838,-2.9,-0.1,-2.8,-808810346
2024-07-02 03:00:00,150065242,0.83,0.12,0.71,106546322
2024-10-01 10:30:00,154963067,-0.92,-0.29,-0.63,-97626732
