midcyc_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2019-02-15 21:45:00,0,0.0,0.05,0.0,0
2019-05-18 05:15:00,1919605,0.26,0.14,0.12,230353
2019-08-17 12:45:00,50006116,-0.11,-0.04,-0.07,-3500428
2019-11-16 20:15:00,0,0.0,-0.13,0.0,0
2020-02-16 03:45:00,11832635,0.06,0.06,0.0,0
2020-05-17 11:15:00,0,0.0,-0.02,0.0,0
2020-08-16 18:45:00,0,0.0,0.02,0.0,0
2020-11-16 02:15:00,0,0.0,0.0,0.0,0
2021-02-15 09:45:00,0,0.0,0.05,0.0,0
2021-05-17 17:15:00,0,0.0,0.04,0.0,0
2021-08-17 00:45:00,26603373,0.53,0.08,0.45,11971518
2021-11-16 08:15:00,75720574,0.88,0.06,0.82,62090871
2022-02-15 15:45:00,115553026,-0.07,0.01,-0.08,-9244242
2022-05-17 23:15:00,1187201,-0.6,-0.0,-0.6,-712321
2022-08-17 06:45:00,59020321,-0.18,-0.03,-0.15,-8853048
2022-11-16 14:15:00,2212930,-0.39,-0.09,-0.3,-663879
2023-02-15 21:45:00,38404584,-0.17,-0.0,-0.17,-6528779
2023-05-18 05:15:00,0,0.0,0.05,0.0,0
2023-08-17 12:45:00,0,0.0,0.04,0.0,0
2023-11-16 20:15:00,0,0.0,-0.02,0.0,0
2024-02-16 03:45:00,0,0.0,0.0,0.0,0
2024-05-17 11:15:00,61326,-0.08,0.05,-0.13,-7972
2024-08-16 18:45:00,0,0.0,-0.1,0.0,0
