midcyc_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2019-05-18 05:15:00,101530483,-0.27,-0.06,-0.21,-21321401
2019-08-17 12:45:00,135684351,-0.36,-0.02,-0.34,-46132679
2019-11-16 20:15:00,50921557,-0.22,-0.01,-0.21,-10693527
2020-02-16 03:45:00,21835673,-0.2,-0.09,-0.11,-2401924
2020-05-17 11:15:00,11848623,-0.21,0.03,-0.24,-2843670
2020-08-16 18:45:00,0,0.0,-0.02,0.0,0
2020-11-16 02:15:00,0,0.0,0.01,0.0,0
2021-02-15 09:45:00,0,0.0,-0.03,0.0,0
2021-05-17 17:15:00,0,0.0,0.03,0.0,0
2021-08-17 00:45:00,0,0.0,0.02,0.0,0
2021-11-16 08:15:00,44283631,0.23,0.06,0.17,7528217
2022-02-15 15:45:00,77967101,-0.22,-0.09,-0.13,-10135723
2022-05-17 23:15:00,46076491,-0.23,-0.03,-0.2,-9215298
2022-08-17 06:45:00,0,0.0,-0.0,0.0,0
2022-11-16 14:15:00,0,0.0,-0.01,0.0,0
2023-02-15 21:45:00,0,0.0,-0.08,0.0,0
2023-05-18 05:15:00,0,0.0,0.03,0.0,0
2023-08-17 12:45:00,2703279,0.18,0.04,0.14,378459
2023-11-16 20:15:00,18655582,0.19,0.09,0.1,1865558
2024-02-16 03:45:00,0,0.0,0.02,0.0,0
2024-05-17 11:15:00,28867329,0.21,0.04,0.17,4907446
2024-08-16 18:45:00,0,0.0,0.06,0.0,0
2024-11-16 02:15:00,1815260,-0.2,-0.09,-0.11,-199679
