mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2019-04-02 13:30:00,213047311,-0.25,-0.04,-0.21,-44739935
2019-07-02 21:00:00,98006106,0.25,0.0,0.25,24501526
2019-10-02 04:30:00,224147912,0.26,0.03,0.23,51554020
2020-01-01 12:00:00,32898025,0.25,-0.04,0.29,9540427
2020-04-01 19:30:00,48831739,0.24,0.0,0.24,11719617
2020-07-02 03:00:00,153744793,0.25,0.02,0.23,35361302
2020-10-01 10:30:00,307820539,0.26,0.03,0.23,70798724
2020-12-31 18:00:00,44518095,0.22,0.0,0.22,9793981
2021-04-02 01:30:00,0,0.0,-0.07,0.0,0
2021-07-02 09:00:00,195402649,0.24,0.02,0.22,42988583
2021-10-01 16:30:00,857461086,0.27,0.16,0.11,94320719
2022-01-01 00:00:00,0,0.0,0.0,0.0,0
2022-04-02 07:30:00,82798542,0.23,0.12,0.11,9107840
2022-07-02 15:00:00,98803923,-0.24,-0.03,-0.21,-20748824
2022-10-01 22:30:00,0,0.0,0.13,0.0,0
2023-01-01 06:00:00,114525733,-0.23,-0.04,-0.19,-21759889
2023-04-02 13:30:00,0,0.0,-0.01,0.0,0
2023-07-02 21:00:00,607575956,-0.45,-0.04,-0.41,-249106142
2023-10-02 04:30:00,660725946,-0.58,0.01,-0.59,-389828308
2024-01-01 12:00:00,95484720,-0.24,-0.05,-0.19,-18142097
2024-04-01 19:30:00,47567850,0.23,-0.03,0.26,12367641
2024-07-02 03:00:00,8573609,0.23,-0.03,0.26,2229138
2024-10-01 10:30:00,148869932,0.24,0.02,0.22,32751385
2024-12-31 18:00:00,0,0.0,-0.0,0.0,0
