mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2019-04-02 13:30:00,0,0.0,0.02,0.0,0
2019-07-02 21:00:00,2429623,-0.12,0.0,-0.12,-291555
2019-10-02 04:30:00,0,0.0,0.03,0.0,0
2020-01-01 12:00:00,0,0.0,-0.0,0.0,0
2020-04-01 19:30:00,0,0.0,0.02,0.0,0
2020-07-02 03:00:00,0,0.0,-0.01,0.0,0
2020-10-01 10:30:00,0,0.0,0.04,0.0,0
2020-12-31 18:00:00,43581209,-0.14,-0.01,-0.13,-5665557
2021-04-02 01:30:00,154029180,-0.17,-0.07,-0.1,-15402918
2021-07-02 09:00:00,47091141,-0.15,-0.04,-0.11,-5180026
2021-10-01 16:30:00,52546074,-0.15,-0.03,-0.12,-6305529
2022-01-01 00:00:00,79818520,-0.15,-0.05,-0.1,-7981852
2022-04-02 07:30:00,21836934,-0.13,-0.02,-0.11,-2402063
2022-07-02 15:00:00,36077823,-0.13,-0.05,-0.08,-2886226
2022-10-01 22:30:00,12587559,-0.13,-0.0,-0.13,-1636383
2023-01-01 06:00:00,31934836,-0.14,-0.05,-0.09,-2874135
2023-04-02 13:30:00,65168618,-0.15,-0.07,-0.08,-5213489
2023-07-02 21:00:00,4702840,-0.13,-0.01,-0.12,-564341
2023-10-02 04:30:00,0,0.0,-0.0,0.0,0
2024-01-01 12:00:00,919666,-0.11,-0.02,-0.09,-82770
2024-04-01 19:30:00,10074404,-0.12,-0.03,-0.09,-906696
2024-07-02 03:00:00,0,0.0,-0.01,0.0,0
2024-10-01 10:30:00,10609124,-0.11,-0.03,-0.08,-848730
