mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2019-04-02 13:30:00,,,-0.02,,
2019-07-02 21:00:00,,,0.02,,
2019-10-02 04:30:00,,,0.09,,
2020-01-01 12:00:00,,,-0.01,,
2020-04-01 19:30:00,,,-0.08,,
2020-07-02 03:00:00,,,0.06,,
2020-10-01 10:30:00,22034875.0,-0.38,-0.14,-0.24,-5288370.0
2020-12-31 18:00:00,3496992.0,-0.3,0.11,-0.41,-1433767.0
2021-04-02 01:30:00,9201140.0,-0.3,-0.09,-0.21,-1932239.0
2021-07-02 09:00:00,2620463.0,-0.28,-0.06,-0.22,-576502.0
2021-10-01 16:30:00,,,-0.01,,
2022-01-01 00:00:00,,,0.13,,
2022-04-02 07:30:00,442747.0,0.25,0.12,0.13,57557.0
2022-07-02 15:00:00,,,0.06,,
2022-10-01 22:30:00,5373405.0,0.28,0.15,0.13,698543.0
2023-01-01 06:00:00,,,-0.21,,
2023-04-02 13:30:00,,,0.04,,
2023-07-02 21:00:00,,,0.03,,
2023-10-02 04:30:00,,,-0.0,,
2024-01-01 12:00:00,,,0.04,,
2024-04-01 19:30:00,5536916.0,-0.28,-0.11,-0.17,-941276.0
2024-07-02 03:00:00,,,0.04,,
2024-10-01 10:30:00,,,0.07,,
2024-12-31 18:00:00,,,0.04,,
